state_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
CA,San Diego,Bandsintown,1/1/2007,,4/1/2009,1/1/2010,2.2493,3.0027,4.6685,3,375000,3,1,0,0,0,0,music,0,1,0,0,0,0,1.0,0,acquired
CA,Los Gatos,TriCipher,1/1/2000,,2/14/2005,12/28/2009,5.126,9.9973,7.0055,4,40100000,1,1,0,0,0,0,enterprise,1,0,0,1,1,1,4.75,1,acquired
CA,San Diego,Plixi,3/18/2009,,3/30/2010,3/30/2010,1.0329,1.0329,1.4575,1,2600000,2,1,0,0,0,0,web,0,0,1,0,0,0,4.0,1,acquired
CA,Cupertino,Solidcore Systems,1/1/2002,,2/17/2005,4/25/2007,3.1315,5.3151,6.0027,3,40000000,1,1,0,0,0,0,software,0,0,0,1,1,1,3.3333,1,acquired
CA,San Francisco,Inhale Digital,8/1/2010,10/1/2012,8/1/2010,4/1/2012,0.0,1.6685,0.0384,2,1300000,1,1,0,0,0,0,games_video,1,1,0,0,0,0,1.0,1,closed
CA,Mountain View,Matisse Networks,1/1/2002,2/15/2009,7/18/2006,7/18/2006,4.5452,4.5452,5.0027,1,7500000,1,1,0,0,0,0,network_hosting,0,0,0,1,0,0,3.0,1,closed
CA,Mountain View,RingCube Technologies,1/1/2005,,9/21/2006,3/18/2010,1.7205,5.211,3.0,3,26000000,2,1,0,0,0,0,software,1,0,1,1,0,0,1.6667,1,acquired
CA,San Rafael,ClairMail,1/1/2004,,8/24/2005,10/4/2010,1.6466,6.7616,5.6055,3,34100000,3,1,0,0,0,0,finance,0,0,1,1,0,1,3.5,1,acquired
MA,Williamstown,VoodooVox,1/1/2002,,8/2/2005,2/8/2013,3.5863,11.1123,8.0055,3,9650000,4,0,0,1,0,0,mobile,1,0,1,0,0,1,4.0,1,acquired
CA,Palo Alto,Doostang,6/1/2005,,2/1/2007,2/5/2010,1.6712,4.6849,2.9178,3,5750000,4,1,0,0,0,0,web,1,1,1,0,0,0,1.0,1,acquired
CA,Menlo Park,Zong,11/15/2000,,7/1/2005,4/26/2010,4.6274,9.4493,10.1342,3,27500000,3,1,0,0,0,0,mobile,0,0,1,1,0,0,1.0,1,acquired
CA,Menlo Park,Center'd,1/1/2006,12/2/2011,2/1/2007,5/3/2011,1.0849,5.3370000000000015,-0.6164,5,10400000,2,1,0,0,0,0,web,1,1,1,0,0,0,1.75,1,closed
KY,Louisville,Resonant Vibes,1/1/2004,4/27/2012,11/25/2008,11/25/2008,4.9041,4.9041,,1,350000,0,0,0,0,0,1,web,1,0,0,0,0,0,1.0,0,closed
NY,Brooklyn,drop.io,11/26/2007,,12/3/2007,5/3/2010,0.0192,2.4356,0.7945,3,9950000,3,0,1,0,0,0,education,0,0,1,1,1,0,2.3333,1,acquired
CO,Denver,Stratavia,1/1/2001,,8/31/2005,12/29/2009,4.6658,8.9973,8.8384,5,10700000,1,0,0,0,0,1,software,0,0,1,1,0,0,2.5,1,acquired
VA,Vienna,Invicta Networks,1/1/1999,3/28/2010,8/9/2005,8/9/2005,6.6082,6.6082,,1,200000,0,0,0,0,0,1,public_relations,1,0,0,0,0,0,1.0,0,closed
CA,Los Altos,QSecure,1/1/2003,9/22/2012,8/2/2005,10/5/2009,2.5863,6.7644,5.5014,5,49000000,1,1,0,0,0,0,security,1,0,1,1,1,1,3.5,1,closed
CA,Burlingame,MeeVee,7/1/2000,,2/1/2005,9/1/2007,4.5918,7.1726,-0.4986,4,25000000,3,1,0,0,0,0,games_video,0,0,1,1,1,1,3.5,1,acquired
NY,New York,SinglePlatform,1/1/2010,,9/29/2010,8/1/2011,0.7425,1.5808,1.2849,3,4575000,3,0,1,0,0,0,web,0,1,1,0,0,0,5.0,1,acquired
CA,Palo Alto,Bling Nation,1/1/2007,9/10/2011,7/2/2009,10/30/2009,2.5014,2.8301,3.0877,2,28000000,3,1,0,0,0,0,enterprise,0,0,1,1,0,0,1.0,1,closed
TX,Austin,Metreos Corporation,1/1/2001,,3/20/2003,10/14/2004,2.2137,3.7863,4.0877,2,4355000,3,0,0,0,1,0,software,0,1,1,0,0,0,1.5,0,acquired
WA,Seattle,Hidden City Games,1/1/2004,9/28/2011,10/31/2007,10/31/2007,3.8329,3.8329,3.7507,1,15000000,1,0,0,0,0,1,other,0,0,0,1,0,0,2.0,1,closed
CA,Palo Alto,Neopolitan Networks,1/1/2002,7/25/2008,6/28/2007,6/28/2007,5.4904,5.4904,0.0,1,3170000,1,1,0,0,0,0,web,0,0,1,0,0,0,2.0,0,closed
CA,San Francisco,Pixelpipe,1/1/2008,8/2/2013,1/1/2007,4/25/2011,-1.0,3.3151,3.6959,2,2300000,3,1,0,0,0,0,mobile,0,1,1,0,0,0,2.0,0,closed
CO,Boulder,EventVue,5/1/2007,2/1/2010,8/1/2007,9/1/2007,0.2521,0.337,,2,455000,0,0,0,0,0,1,public_relations,0,1,1,0,0,0,4.5,1,closed
IL,Chicago,BridgePort Networks,1/1/2002,,11/3/2006,11/3/2006,4.8411,4.8411,1.0,1,13000000,1,0,0,0,0,1,software,0,0,0,0,1,0,4.0,1,acquired
CA,Palo Alto,Scalent Systems,1/1/2003,,1/22/2007,1/22/2007,4.0603,4.0603,3.0027,1,15000000,1,1,0,0,0,0,public_relations,0,0,0,0,1,0,4.0,1,acquired
CA,Berkeley,IQ Engines,6/1/2008,,6/25/2012,6/25/2012,4.0685,4.0685,3.4192,1,3800000,3,1,0,0,0,0,photo_video,0,0,0,1,0,0,2.0,1,acquired
TX,Austin,"RetailMeNot, Inc.",5/1/2007,,11/1/2009,11/10/2011,2.5068,4.5315,4.9315,5,299500000,2,0,0,0,1,0,web,1,0,1,0,1,0,1.75,1,acquired
CA,Santa Ana,Mophie,5/24/2005,,8/1/2006,8/1/2006,1.189,1.189,2.189,1,1000000,3,1,0,0,0,0,hardware,1,0,0,0,0,0,2.0,1,acquired
CA,Moffett Field,Airship Ventures,1/1/2007,11/14/2012,5/9/2008,3/1/2009,1.3534,2.1644,4.5178,2,10500000,1,1,0,0,0,0,other,0,0,1,1,0,0,2.0,1,closed
WA,Seattle,Lockdown Networks,1/1/2001,,2/25/2005,3/2/2006,4.1534,5.1671,3.0,2,8600000,1,0,0,0,0,1,public_relations,1,0,0,1,0,0,1.5,1,acquired
NC,Durham,eMinor,10/1/2006,2/17/2012,8/1/2006,10/7/2008,-0.1671,2.0192,,2,5000000,0,0,0,0,0,1,software,0,0,1,1,0,0,2.5,1,closed
CA,San Francisco,Karma,1/1/2011,,1/1/2011,11/14/2011,0.0,0.8685,0.4137,2,2304999,2,1,0,0,0,0,mobile,1,0,0,0,0,0,5.0,1,acquired
PA,Pittsburgh,Zipano,6/1/2009,5/27/2012,7/1/2009,7/1/2009,0.0822,0.0822,,1,25000,0,0,0,0,0,1,security,0,1,0,0,0,0,1.0,0,closed
NY,New York,Entertainment Media Works,7/1/2004,10/1/2008,2/26/2007,2/26/2007,2.6575,2.6575,0.0,1,4000000,1,0,1,0,0,0,software,0,0,0,1,0,0,1.0,1,closed
CA,San Francisco,Elastra,1/1/2007,1/28/2011,8/15/2007,8/5/2008,0.6192,1.5945,1.0,2,14600000,3,1,0,0,0,0,software,0,0,1,1,0,0,2.0,1,closed
